State,Crime_Info,Value,Category,Crime,Metric,Year
Chhattisgarh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,42.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Goa,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,2.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Gujarat,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,114.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Haryana,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,45.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Himachal Pradesh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,8.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Jharkhand,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,41.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Karnataka,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,84.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Kerala,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,78.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Madhya Pradesh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,197.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Maharashtra,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,276.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Manipur,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,9.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Meghalaya,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,10.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Mizoram,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,9.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Nagaland,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,2.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Odisha,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,12.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Punjab,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,177.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Rajasthan,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,96.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Sikkim,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,2.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Tamil Nadu,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,71.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Telangana,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,428.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
