State,Value,Category,Year,Dataset,State_Total,Crime_Share,Dataset_Total,Contribution_%,Prev_Value,Growth_Rate,Crime_Rank_State,State_Rank,Intensity,Log_Value,Frequency,Metric
Jammu & Kashmir,27,Culpable Homicide not Amounting to Murder,2021,IPC,36940,0.000730915,4230873,0.000638166,136,-80.14705882,64,2639.5,Low,3.33220451,Rare,I
Ladakh,2,Culpable Homicide not Amounting to Murder,2021,IPC,613,0.003262643,4230873,4.73E-05,5,-60,28.5,4595.5,Low,1.098612289,Rare,I
Lakshadweep,0,Culpable Homicide not Amounting to Murder,2021,IPC,171,0,4230873,0,1,-100,150,7352.5,Low,0,Rare,I
Puducherry,0,Culpable Homicide not Amounting to Murder,2021,IPC,4889,0,4230873,0,19,-100,163.5,7352.5,Low,0,Rare,I
Andhra Pradesh,739,Negligence - Road Accidents - Hit and Run,2021,IPC,224927,0.00328551,4230873,0.017466844,,0,36,789,Low,6.606650186,Rare,I
Arunachal Pradesh,40,Negligence - Road Accidents - Hit and Run,2021,IPC,3603,0.01110186,4230873,0.000945431,,0,26,2322,Low,3.713572067,Rare,I
Assam,1475,Negligence - Road Accidents - Hit and Run,2021,IPC,188338,0.007831664,4230873,0.034862781,,0,27,526,Low,7.297091005,Rare,I
Bihar,1039,Negligence - Road Accidents - Hit and Run,2021,IPC,305961,0.003395858,4230873,0.024557579,,0,30,654,Low,6.946975992,Rare,I
Chhattisgarh,1777,Negligence - Road Accidents - Hit and Run,2021,IPC,113598,0.015642881,4230873,0.042000788,,0,14,468,Low,7.483244416,Rare,I
Goa,23,Negligence - Road Accidents - Hit and Run,2021,IPC,2936,0.007833787,4230873,0.000543623,,0,33,2766,Low,3.17805383,Rare,I
Gujarat,1119,Negligence - Road Accidents - Hit and Run,2021,IPC,296968,0.003768083,4230873,0.026448442,,0,21,624,Low,7.021083964,Rare,I
Haryana,631,Negligence - Road Accidents - Hit and Run,2021,IPC,144925,0.004353976,4230873,0.01491418,,0,48,851,Low,6.448889394,Rare,I
Himachal Pradesh,65,Negligence - Road Accidents - Hit and Run,2021,IPC,19452,0.003341559,4230873,0.001536326,,0,51,1985,Low,4.189654742,Rare,I
Jharkhand,1533,Negligence - Road Accidents - Hit and Run,2021,IPC,69828,0.021953944,4230873,0.036233657,,0,11,516,Low,7.335633982,Rare,I
Karnataka,1093,Negligence - Road Accidents - Hit and Run,2021,IPC,177849,0.006145663,4230873,0.025833912,,0,36,635.5,Low,6.997595983,Rare,I
Kerala,158,Negligence - Road Accidents - Hit and Run,2021,IPC,174311,0.000906426,4230873,0.003734454,,0,62,1512,Low,5.068904202,Rare,I
Madhya Pradesh,7471,Negligence - Road Accidents - Hit and Run,2021,IPC,462368,0.016158125,4230873,0.176582942,,0,15,133,Low,8.91891798,Rare,I
Maharashtra,3205,Negligence - Road Accidents - Hit and Run,2021,IPC,505541,0.006339743,4230873,0.075752687,,0,35,308,Low,8.072779333,Rare,I
Manipur,61,Negligence - Road Accidents - Hit and Run,2021,IPC,3307,0.018445721,4230873,0.001441783,,0,15,2033,Low,4.127134385,Rare,I
Meghalaya,18,Negligence - Road Accidents - Hit and Run,2021,IPC,4249,0.004236291,4230873,0.000425444,,0,50,2950,Low,2.944438979,Rare,I
Mizoram,12,Negligence - Road Accidents - Hit and Run,2021,IPC,2823,0.004250797,4230873,0.000283629,,0,34.5,3281.5,Low,2.564949357,Rare,I
Nagaland,10,Negligence - Road Accidents - Hit and Run,2021,IPC,1216,0.008223684,4230873,0.000236358,,0,24.5,3417,Low,2.397895273,Rare,I
Odisha,944,Negligence - Road Accidents - Hit and Run,2021,IPC,193012,0.004890888,4230873,0.02231218,,0,34,698,Low,6.851184927,Rare,I
Punjab,1264,Negligence - Road Accidents - Hit and Run,2021,IPC,62358,0.020270054,4230873,0.029875631,,0,17,580,Low,7.142827401,Rare,I
Rajasthan,2454,Negligence - Road Accidents - Hit and Run,2021,IPC,298122,0.008231529,4230873,0.058002214,,0,24,372,Low,7.80588204,Rare,I
Sikkim,2,Negligence - Road Accidents - Hit and Run,2021,IPC,960,0.002083333,4230873,4.73E-05,,0,51.5,4595.5,Low,1.098612289,Rare,I
Tamil Nadu,1132,Negligence - Road Accidents - Hit and Run,2021,IPC,376836,0.003003959,4230873,0.026755707,,0,24,617,Low,7.032624261,Rare,I
Telangana,1290,Negligence - Road Accidents - Hit and Run,2021,IPC,224213,0.005753458,4230873,0.030490161,,0,34,573,Low,7.163172391,Rare,I
Tripura,76,Negligence - Road Accidents - Hit and Run,2021,IPC,6500,0.011692308,4230873,0.00179632,,0,20,1872,Low,4.343805422,Rare,I
Uttar Pradesh,14510,Negligence - Road Accidents - Hit and Run,2021,IPC,537212,0.027009821,4230873,0.342955225,,0,10,73,Low,9.582662261,Rare,I
Uttarakhand,480,Negligence - Road Accidents - Hit and Run,2021,IPC,23817,0.020153672,4230873,0.011345176,,0,20,992.5,Low,6.17586727,Rare,I
West Bengal,58,Negligence - Road Accidents - Hit and Run,2021,IPC,234967,0.000246843,4230873,0.001370875,,0,83,2058.5,Low,4.077537444,Rare,I
A&N Islands,3,Negligence - Road Accidents - Hit and Run,2021,IPC,794,0.003778338,4230873,7.09E-05,,0,47.5,4307.5,Low,1.386294361,Rare,I
Chandigarh,33,Negligence - Road Accidents - Hit and Run,2021,IPC,3338,0.009886159,4230873,0.000779981,,0,22,2477.5,Low,3.526360525,Rare,I
D&N Haveli and Daman & Diu,28,Negligence - Road Accidents - Hit and Run,2021,IPC,841,0.033293698,4230873,0.000661802,,0,14,2612,Low,3.36729583,Rare,I
Delhi,579,Negligence - Road Accidents - Hit and Run,2021,IPC,328033,0.001765066,4230873,0.013685119,,0,33,898,Low,6.363028104,Rare,I
Jammu & Kashmir,176,Negligence - Road Accidents - Hit and Run,2021,IPC,36940,0.004764483,4230873,0.004159898,,0,34,1453.5,Low,5.176149733,Rare,I
Ladakh,1,Negligence - Road Accidents - Hit and Run,2021,IPC,613,0.001631321,4230873,2.36E-05,,0,38,5116,Low,0.693147181,Rare,I
Lakshadweep,0,Negligence - Road Accidents - Hit and Run,2021,IPC,171,0,4230873,0,,0,150,7352.5,Low,0,Rare,I
Puducherry,0,Negligence - Road Accidents - Hit and Run,2021,IPC,4889,0,4230873,0,,0,163.5,7352.5,Low,0,Rare,I
Andhra Pradesh,6828,Negligence - Road Accidents - Other Accidents,2021,IPC,224927,0.030356516,4230873,0.161385133,,0,8,143,Low,8.828933529,Rare,I
Arunachal Pradesh,78,Negligence - Road Accidents - Other Accidents,2021,IPC,3603,0.021648626,4230873,0.001843591,,0,12,1858,Low,4.369447852,Rare,I
